#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Pseudomonas aeruginosa,S25b-2,19537,SAMN07504857 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326085.1 ,6.39142,66.5,-,NQZJ01,72,6087,5927,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/085/GCF_002326085.1_ASM232608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/085/GCA_002326085.1_ASM232608v1
Pseudomonas aeruginosa,W21b-2,19537,SAMN07504870 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326095.1 ,6.41627,66.4,-,NQYW01,158,6162,5939,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/095/GCF_002326095.1_ASM232609v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/095/GCA_002326095.1_ASM232609v1
Pseudomonas aeruginosa,W13a-2,19537,SAMN07504869 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326115.1 ,6.74335,66,-,NQYX01,94,-,-,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/115/GCF_002326115.1_ASM232611v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/115/GCA_002326115.1_ASM232611v1
Pseudomonas aeruginosa,W1c,19537,SAMN07504864 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326125.1 ,6.74658,65.9,-,NQZC01,72,6480,6316,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/125/GCF_002326125.1_ASM232612v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/125/GCA_002326125.1_ASM232612v1
Pseudomonas aeruginosa,U1j-3,19537,SAMN07504860 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326165.1 ,6.80104,66.2,-,NQZG01,101,6588,6381,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/165/GCF_002326165.1_ASM232616v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/165/GCA_002326165.1_ASM232616v1
Pseudomonas aeruginosa,S30a,19537,SAMN07504858 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326185.1 ,6.46386,66.4,-,NQZI01,226,6244,5957,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/185/GCF_002326185.1_ASM232618v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/185/GCA_002326185.1_ASM232618v1
Pseudomonas aeruginosa,S20b,19537,SAMN07504855 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326195.1 ,6.33112,66.4,-,NQZL01,62,6010,5844,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/195/GCF_002326195.1_ASM232619v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/195/GCA_002326195.1_ASM232619v1
Pseudomonas aeruginosa,S8b-3,19537,SAMN07504853 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326205.1 ,6.36484,66.4,-,NQZN01,116,6080,5879,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/205/GCF_002326205.1_ASM232620v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/205/GCA_002326205.1_ASM232620v1
Pseudomonas aeruginosa,S8b-1,19537,SAMN07504852 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326245.1 ,6.36653,66.4,-,NQZO01,89,6066,5887,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/245/GCF_002326245.1_ASM232624v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/245/GCA_002326245.1_ASM232624v1
Pseudomonas aeruginosa,S1h,19537,SAMN07504851 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326265.1 ,6.47475,66.3,-,NQZP01,66,6241,6066,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/265/GCF_002326265.1_ASM232626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/265/GCA_002326265.1_ASM232626v1
Pseudomonas aeruginosa,S1g,19537,SAMN07504850 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326275.1 ,6.47425,66.3,-,NQZQ01,76,6242,6068,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/275/GCF_002326275.1_ASM232627v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/275/GCA_002326275.1_ASM232627v1
Pseudomonas aeruginosa,S1e,19537,SAMN07504848 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326305.1 ,6.47266,66.3,-,NQZR01,78,6252,6071,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/305/GCF_002326305.1_ASM232630v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/305/GCA_002326305.1_ASM232630v1
Pseudomonas aeruginosa,P28a,19537,SAMN07504846 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326325.1 ,6.52158,66.4,-,NQZT01,88,6213,6015,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/325/GCF_002326325.1_ASM232632v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/325/GCA_002326325.1_ASM232632v1
Pseudomonas aeruginosa,env396a,19537,SAMN07504841 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326345.1 ,7.25335,65.6,-,NQZW01,147,7062,6790,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/345/GCF_002326345.1_ASM232634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/345/GCA_002326345.1_ASM232634v1
Pseudomonas aeruginosa,env345,19537,SAMN07504840 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326355.1 ,6.78826,66.1,-,NQZX01,105,6524,6293,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/355/GCF_002326355.1_ASM232635v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/355/GCA_002326355.1_ASM232635v1
Pseudomonas aeruginosa,env238,19537,SAMN07504834 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326365.1 ,6.78418,66,-,NRAA01,131,6482,6237,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/365/GCF_002326365.1_ASM232636v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/365/GCA_002326365.1_ASM232636v1
Pseudomonas aeruginosa,env210,19537,SAMN07504831 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326395.1 ,6.43571,66.5,-,NRAC01,65,6119,5945,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/395/GCF_002326395.1_ASM232639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/395/GCA_002326395.1_ASM232639v1
Pseudomonas aeruginosa,env179,19537,SAMN07504821 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326425.1 ,6.88731,66,-,NRAE01,123,6658,6392,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/425/GCF_002326425.1_ASM232642v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/425/GCA_002326425.1_ASM232642v1
Pseudomonas aeruginosa,env172,19537,SAMN07504820 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326435.1 ,7.06879,65.8,-,NRAF01,195,6929,6645,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/435/GCF_002326435.1_ASM232643v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/435/GCA_002326435.1_ASM232643v1
Pseudomonas aeruginosa,env165,19537,SAMN07504818 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326445.1 ,6.4192,66.3,-,NRAG01,103,6120,5916,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/445/GCF_002326445.1_ASM232644v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/445/GCA_002326445.1_ASM232644v1
Pseudomonas aeruginosa,env159a,19537,SAMN07504816 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326455.1 ,6.37404,66.4,-,NRAI01,64,6065,5896,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/455/GCF_002326455.1_ASM232645v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/455/GCA_002326455.1_ASM232645v1
Pseudomonas aeruginosa,env158,19537,SAMN07504815 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326505.1 ,6.29982,66.5,-,NRAJ01,73,5972,5798,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/505/GCF_002326505.1_ASM232650v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/505/GCA_002326505.1_ASM232650v1
Pseudomonas aeruginosa,S21a,19537,SAMN07504856 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326515.1 ,6.34654,66.5,-,NQZK01,139,6044,5839,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/515/GCF_002326515.1_ASM232651v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/515/GCA_002326515.1_ASM232651v1
Pseudomonas aeruginosa,S14b,19537,SAMN07504854 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326525.1 ,6.37552,66.5,-,NQZM01,94,6065,5886,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/525/GCF_002326525.1_ASM232652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/525/GCA_002326525.1_ASM232652v1
Pseudomonas aeruginosa,P28b,19537,SAMN07504847 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326535.1 ,6.5188,66.4,-,NQZS01,94,6213,6010,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/535/GCF_002326535.1_ASM232653v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/535/GCA_002326535.1_ASM232653v1
Pseudomonas aeruginosa,env406b,19537,SAMN07504843 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326585.1 ,6.9364,65.9,-,NQZV01,128,6695,6417,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/585/GCF_002326585.1_ASM232658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/585/GCA_002326585.1_ASM232658v1
Pseudomonas aeruginosa,env331b,19537,SAMN07504838 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326595.1 ,6.3489,66.5,-,NQZY01,82,5998,5832,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/595/GCF_002326595.1_ASM232659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/595/GCA_002326595.1_ASM232659v1
Pseudomonas aeruginosa,env241a,19537,SAMN07504835 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326605.1 ,6.99622,65.8,-,NQZZ01,158,6740,6468,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/605/GCF_002326605.1_ASM232660v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/605/GCA_002326605.1_ASM232660v1
Pseudomonas aeruginosa,env225,19537,SAMN07504833 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326625.1 ,6.1553,66.6,-,NRAB01,38,5828,5681,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/625/GCF_002326625.1_ASM232662v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/625/GCA_002326625.1_ASM232662v1
Pseudomonas aeruginosa,env193,19537,SAMN07504824 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326665.1 ,6.24252,66.5,-,NRAD01,49,5900,5747,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/665/GCF_002326665.1_ASM232666v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/665/GCA_002326665.1_ASM232666v1
Pseudomonas aeruginosa,env146b,19537,SAMN07504814 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326675.1 ,6.39095,66.5,-,NRAK01,90,6089,5914,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/675/GCF_002326675.1_ASM232667v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/675/GCA_002326675.1_ASM232667v1
Pseudomonas aeruginosa,env159b,19537,SAMN07504817 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326685.1 ,6.37436,66.4,-,NRAH01,71,6068,5898,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/685/GCF_002326685.1_ASM232668v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/685/GCA_002326685.1_ASM232668v1
Pseudomonas aeruginosa,env145a,19537,SAMN07504813 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326725.1 ,6.99298,65.9,-,NRAL01,118,6735,6501,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/725/GCF_002326725.1_ASM232672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/725/GCA_002326725.1_ASM232672v1
Pseudomonas aeruginosa,env144b,19537,SAMN07504812 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002326745.1 ,6.35812,66.4,-,NRAM01,144,6057,5854,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/326/745/GCF_002326745.1_ASM232674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/326/745/GCA_002326745.1_ASM232674v1
Pseudomonas aeruginosa,SJU-W20_3,19537,SAMN07504893 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329725.1 ,6.5104,66.3,-,NRES01,108,6199,6031,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/725/GCF_002329725.1_ASM232972v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/725/GCA_002329725.1_ASM232972v1
Pseudomonas aeruginosa,SJU-W20_1,19537,SAMN07504891 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329735.1 ,6.50967,66.3,-,NREU01,104,6202,6032,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/735/GCF_002329735.1_ASM232973v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/735/GCA_002329735.1_ASM232973v1
Pseudomonas aeruginosa,SJU-S79_3,19537,SAMN07504887 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329765.1 ,6.4605,66.4,-,NREY01,95,6194,6037,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/765/GCF_002329765.1_ASM232976v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/765/GCA_002329765.1_ASM232976v1
Pseudomonas aeruginosa,SJU-S79_1,19537,SAMN07504885 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329775.1 ,6.46096,66.4,-,NRFA01,89,6194,6036,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/775/GCF_002329775.1_ASM232977v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/775/GCA_002329775.1_ASM232977v1
Pseudomonas aeruginosa,SJU-S72_3,19537,SAMN07504884 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329805.1 ,6.42692,66.4,-,NRFB01,70,6094,5938,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/805/GCF_002329805.1_ASM232980v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/805/GCA_002329805.1_ASM232980v1
Pseudomonas aeruginosa,SJU-S72_2,19537,SAMN07504883 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329815.1 ,6.42652,66.4,-,NRFC01,69,6096,5938,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/815/GCF_002329815.1_ASM232981v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/815/GCA_002329815.1_ASM232981v1
Pseudomonas aeruginosa,SJU-S72_1,19537,SAMN07504882 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329845.1 ,6.42662,66.4,-,NRFD01,67,6094,5937,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/845/GCF_002329845.1_ASM232984v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/845/GCA_002329845.1_ASM232984v1
Pseudomonas aeruginosa,SJU-S9_3,19537,SAMN07504881 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329865.1 ,6.22318,66.5,-,NRFE01,72,5882,5740,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/865/GCF_002329865.1_ASM232986v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/865/GCA_002329865.1_ASM232986v1
Pseudomonas aeruginosa,SJU-S6_2,19537,SAMN07504877 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329885.1 ,6.22415,66.5,-,NRFI01,83,5891,5735,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/885/GCF_002329885.1_ASM232988v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/885/GCA_002329885.1_ASM232988v1
Pseudomonas aeruginosa,SJU-S6_1,19537,SAMN07504876 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329905.1 ,6.22338,66.5,-,NRFJ01,71,5887,5739,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/905/GCF_002329905.1_ASM232990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/905/GCA_002329905.1_ASM232990v1
Pseudomonas aeruginosa,SJU-R10_3,19537,SAMN07504875 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329925.1 ,6.41416,66.5,-,NRFK01,81,6086,5940,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/925/GCF_002329925.1_ASM232992v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/925/GCA_002329925.1_ASM232992v1
Pseudomonas aeruginosa,SJU-R10_1,19537,SAMN07504873 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329935.1 ,6.41473,66.5,-,NRFM01,78,6093,5943,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/935/GCF_002329935.1_ASM232993v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/935/GCA_002329935.1_ASM232993v1
Pseudomonas aeruginosa,SJU-R8_3,19537,SAMN07504872 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329965.1 ,6.2969,66.5,-,NRFN01,88,5946,5792,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/965/GCF_002329965.1_ASM232996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/965/GCA_002329965.1_ASM232996v1
Pseudomonas aeruginosa,SJU-R8_2,19537,SAMN07504871 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002329975.1 ,6.29643,66.5,-,NRFO01,87,5954,5791,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/329/975/GCF_002329975.1_ASM232997v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/975/GCA_002329975.1_ASM232997v1
Pseudomonas aeruginosa,SJU-S79_2,19537,SAMN07504886 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330005.1 ,6.46049,66.4,-,NREZ01,88,6195,6038,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/005/GCF_002330005.1_ASM233000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/005/GCA_002330005.1_ASM233000v1
Pseudomonas aeruginosa,SJU-S9_2,19537,SAMN07504880 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330015.1 ,6.22402,66.5,-,NRFF01,68,5884,5742,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/015/GCF_002330015.1_ASM233001v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/015/GCA_002330015.1_ASM233001v1
Pseudomonas aeruginosa,SJU-S9_1,19537,SAMN07504879 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330045.1 ,6.22305,66.5,-,NRFG01,77,5885,5739,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/045/GCF_002330045.1_ASM233004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/045/GCA_002330045.1_ASM233004v1
Pseudomonas aeruginosa,S1f,19537,SAMN07504849 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330065.1 ,6.47199,66.3,-,NRFP01,99,6256,6060,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/065/GCF_002330065.1_ASM233006v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/065/GCA_002330065.1_ASM233006v1
Pseudomonas aeruginosa,SJU-W4_2,19537,SAMN07504889 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330075.1 ,6.73321,66.2,-,NREW01,102,6469,6281,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/075/GCF_002330075.1_ASM233007v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/075/GCA_002330075.1_ASM233007v1
Pseudomonas aeruginosa,SJU-W4_1,19537,SAMN07504888 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330095.1 ,6.7311,66.2,-,NREX01,99,6472,6280,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/095/GCF_002330095.1_ASM233009v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/095/GCA_002330095.1_ASM233009v1
Pseudomonas aeruginosa,env396b,19537,SAMN07504842 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330125.1 ,6.85295,66,-,NRFR01,132,6608,6365,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/125/GCF_002330125.1_ASM233012v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/125/GCA_002330125.1_ASM233012v1
Pseudomonas aeruginosa,env299,19537,SAMN07504837 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330135.1 ,7.06239,65.9,-,NRFT01,120,6922,6680,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/135/GCF_002330135.1_ASM233013v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/135/GCA_002330135.1_ASM233013v1
Pseudomonas aeruginosa,env241b,19537,SAMN07504836 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330165.1 ,6.99784,65.8,-,NRFU01,170,6732,6465,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/165/GCF_002330165.1_ASM233016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/165/GCA_002330165.1_ASM233016v1
Pseudomonas aeruginosa,env204,19537,SAMN07504829 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330175.1 ,6.42473,66.4,-,NRFX01,72,6107,5931,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/175/GCF_002330175.1_ASM233017v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/175/GCA_002330175.1_ASM233017v1
Pseudomonas aeruginosa,env203,19537,SAMN07504828 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330205.1 ,6.52714,66.3,-,NRFY01,87,6238,6035,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/205/GCF_002330205.1_ASM233020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/205/GCA_002330205.1_ASM233020v1
Pseudomonas aeruginosa,env202,19537,SAMN07504827 ,PRJNA393338,Proteobacteria,Gammaproteobacteria,GCA_002330215.1 ,6.42922,66.4,-,NRFZ01,97,6105,5915,9/21/2017,9/23/2017,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/330/215/GCF_002330215.1_ASM233021v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/330/215/GCA_002330215.1_ASM233021v1
